Origem,Imagem,Tipo_Placa_Predito,Confianca_Detector,Placa_Lida,Confianca_OCR,Variante_OCR
dataset_validation,img_000001.jpg,plate_brazilian,0.9338932037353516,ODE250,0.7547280850637947,gray
dataset_validation,img_000006.jpg,plate_brazilian,0.9282540678977966,GJX9280,0.756865813967538,gray
dataset_validation,img_000012.jpg,plate_brazilian,0.9209471344947815,MTF9115,0.40808612203825023,gray
dataset_validation,img_000021.jpg,plate_brazilian,0.9253849387168884,EJE5677,0.9938838646551422,gray
dataset_validation,img_000023.jpg,plate_brazilian,0.9162151217460632,PPT7651,0.6107949040133994,bilateral
dataset_validation,img_000029.jpg,plate_brazilian,0.9212234020233154,ATS8,0.9140979051589966,inv_otsu
dataset_validation,img_000030.jpg,plate_brazilian,0.8891656994819641,MTK6939,0.8489467119618536,bilateral
dataset_validation,img_000035.jpg,plate_brazilian,0.9088104963302612,MOY6980,0.5664484234019505,bilateral
dataset_validation,img_000036.jpg,plate_brazilian,0.9212898015975952,G9B0,0.8707465529441833,bilateral
dataset_validation,img_000037.jpg,plate_brazilian,0.9221188426017761,TOZ6,0.9998308420181274,otsu
dataset_validation,img_000046.jpg,plate_brazilian,0.9237300753593445,OIT0530,0.4128784673388962,otsu
dataset_validation,img_000058.jpg,plate_brazilian,0.9101129770278931,PPW9995,0.72244620166934,gray
dataset_validation,img_000059.jpg,plate_brazilian,0.900839626789093,A990,0.9902186989784241,equalized
dataset_validation,img_000062.jpg,plate_brazilian,0.9069825410842896,IPP1705,0.20272841605508027,gray
dataset_validation,img_000064.jpg,plate_brazilian,0.9116445183753967,I,0.8210424407222696,equalized
dataset_validation,img_000065.jpg,plate_brazilian,0.9176120162010193,PPR507,0.38367029239005707,gray
dataset_validation,img_000066.jpg,plate_brazilian,0.925286054611206,IGG,0.923382951625974,adaptive
dataset_validation,img_000074.jpg,plate_brazilian,0.9113861918449402,OYD047,0.6573673596022734,gray
dataset_validation,img_000075.jpg,plate_brazilian,0.9083871245384216,B9O,0.4054899529027911,adaptive
dataset_validation,img_000082.jpg,plate_brazilian,0.8942988514900208,SBB72,0.22621796944514688,adaptive
dataset_validation,img_000087.jpg,plate_brazilian,0.8754725456237793,STS25,0.46902017179973005,inv_otsu
dataset_validation,img_000094.jpg,plate_brazilian,0.7748508453369141,HPS4323,0.36241341438801683,gray
dataset_validation,img_000115.jpg,plate_brazilian,0.9262440800666809,OA,0.6863085757033024,adaptive
dataset_validation,img_000119.jpg,plate_brazilian,0.8665218949317932,SOZ843,0.43173444595059435,gray
dataset_validation,img_000120.jpg,plate_brazilian,0.9164304733276367,PPX5162,0.770869819790082,gray
dataset_validation,img_000124.jpg,plate_brazilian,0.9075708985328674,OYJ7768,0.9241738261139035,gray
dataset_validation,img_000125.jpg,plate_brazilian,0.9229940176010132,PPO4739,0.6312237768408452,gray
dataset_validation,img_000126.jpg,plate_brazilian,0.9032592177391052,PPF3006,0.9181814828267908,gray
dataset_validation,img_000135.jpg,plate_brazilian,0.9046977162361145,ZTI976,0.9815254764487378,otsu
dataset_validation,img_000142.jpg,plate_brazilian,0.9185167551040649,HIC5,0.05564403428506574,inv_otsu
externa,externa_01.jpg,plate_mercosur,0.9005557298660278,TOL3R55,0.5653789964999437,gray
externa,externa_010.jpg,plate_brazilian,0.9097752571105957,PYV8400,0.8677660481366121,bilateral
externa,externa_011.jpg,plate_brazilian,0.9218528866767883,FZD0008,0.2797166822481068,gray
externa,externa_011.jpg,plate_mercosur,0.2600104808807373,VL,0.020223512750827465,equalized
externa,externa_012.jpg,plate_mercosur,0.9170675873756409,GHE5D67,0.8791522252129031,inv_otsu
externa,externa_013.jpg,plate_mercosur,0.9130232334136963,FYC8G29,0.9851472672531686,gray
externa,externa_014.jpg,plate_mercosur,0.907616376876831,JO,0.6038170749835048,adaptive
externa,externa_014.jpg,plate_mercosur,0.5503636002540588,OHI6,0.5423726612382673,gray
externa,externa_015.jpg,plate_brazilian,0.9190592169761658,DUH3316,0.31633745814256237,gray
externa,externa_016.jpg,plate_mercosur,0.9133550524711609,FCK8D46,0.9285386024700606,gray
externa,externa_017.jpg,plate_mercosur,0.9085020422935486,RHQ3G65,0.4041907533598835,bilateral
externa,externa_018.jpg,plate_brazilian,0.9009766578674316,HII,0.6887957822275164,adaptive
externa,externa_019.jpg,plate_brazilian,0.8781533241271973,FLK5244,0.6090054271358473,gray
externa,externa_02.jpg,plate_brazilian,0.8697662949562073,LRM0534,0.4332372625585283,bilateral
externa,externa_020.jpg,plate_mercosur,0.9002254009246826,IGI1AJ3,0.2978223528160322,gray
externa,externa_021.jpg,plate_mercosur,0.916925847530365,GBE5H66,0.8104863006902161,gray
externa,externa_022.jpg,plate_mercosur,0.9274324774742126,CUU9H07,0.3228866908340428,bilateral
externa,externa_023.jpg,plate_mercosur,0.9191508293151855,FLKHG6,0.8082301935354174,equalized
externa,externa_024.jpg,plate_mercosur,0.9058040976524353,TLJ2G78,0.4193981666532959,equalized
externa,externa_025.jpg,plate_mercosur,0.904080331325531,GEG2C50,0.7652813991722693,inv_otsu
externa,externa_025.jpg,plate_brazilian,0.8965818285942078,CRR2550,0.8498862170412289,gray
externa,externa_026.jpg,plate_mercosur,0.8677256107330322,SYB6F68,0.9644401397048128,gray
externa,externa_027.jpg,plate_mercosur,0.897074282169342,QRC8B09,0.714899675301914,equalized
externa,externa_028.jpg,plate_brazilian,0.8517473936080933,OZB07,0.3224476107767842,equalized
externa,externa_029.jpg,plate_mercosur,0.8918040990829468,SFY7Z2,0.7249236812897989,bilateral
externa,externa_03.jpg,plate_brazilian,0.8933603167533875,ODO929,0.4499633458774105,gray
externa,externa_030.jpg,plate_mercosur,0.9207092523574829,RQP5J78,0.8394937943065496,equalized
externa,externa_04.jpg,plate_mercosur,0.9375690817832947,KTE2O77,0.711346817023545,bilateral
externa,externa_05.jpg,plate_brazilian,0.9261160492897034,MTU7662,0.37666909536535775,gray
externa,externa_06.jpg,plate_mercosur,0.9026731252670288,DCV3J74,0.3291592520060057,bilateral
externa,externa_07.jpg,plate_mercosur,0.8922813534736633,POP5G06,0.10320377802766803,bilateral
externa,externa_07.jpg,plate_brazilian,0.8802456259727478,PPI9055,0.4300384819507599,inv_otsu
