Ficheiro,Tipo,Texto,Conf
img_010985.jpg,car_mercosur,N/A,0.0
img_011306.jpg,car_mercosur,N/A,0.0
img_018715.jpg,motorcycle_brazilian,N/A,0.0
img_002625.jpg,car_brazilian,N/A,0.0
img_001346.jpg,car_brazilian,N/A,0.0
img_027822.jpg,motorcycle_mercosur,N/A,0.0
img_020186.jpg,motorcycle_brazilian,N/A,0.0
img_018612.jpg,motorcycle_brazilian,N/A,0.0
img_029928.jpg,motorcycle_mercosur,N/A,0.0
img_014678.jpg,car_mercosur,N/A,0.0
img_021619.jpg,motorcycle_brazilian,N/A,0.0
img_028927.jpg,motorcycle_mercosur,N/A,0.0
img_002919.jpg,car_brazilian,N/A,0.0
img_003428.jpg,car_brazilian,N/A,0.0
img_010878.jpg,car_mercosur,N/A,0.0
img_022129.jpg,motorcycle_brazilian,N/A,0.0
img_028218.jpg,motorcycle_mercosur,N/A,0.0
img_011241.jpg,car_mercosur,N/A,0.0
img_019675.jpg,motorcycle_brazilian,N/A,0.0
img_017557.jpg,motorcycle_brazilian,N/A,0.0
img_013091.jpg,car_mercosur,N/A,0.0
img_022433.jpg,motorcycle_brazilian,N/A,0.0
img_003940.jpg,car_brazilian,N/A,0.0
img_019413.jpg,motorcycle_brazilian,N/A,0.0
